codigo_ibge,longitude,latitude,area_km2,altitude_media_m,altitude_minima_m,amplitude_altitude_m,declividade_m_por_km,celulas_de_relevo,distancia_rio_km,distancia_rio_grande_km
3168408,-41.90257313187659,-19.300713451315826,729.298609319143,393.2371826171875,215.0,574.0,43.578691254073874,156,35.1491810783968,333.7657060746511
3168507,-42.859261809495315,-20.63306768577924,172.56429325509816,712.3846435546875,618.0,205.0,16.442699503135263,39,13.701555891807454,284.7246131120432
3168606,-41.38344654754466,-17.71469757461624,3253.043184509501,444.6797180175781,235.0,531.0,29.76750430025233,690,123.42322197828805,367.96877464114925
3168705,-42.60080415827296,-19.555769007261286,139.74715666100383,332.76666259765625,251.0,372.0,30.634382023402434,30,9.735400594227418,264.548540778441
3168804,-44.155306386426886,-21.11771215778308,90.19717238750309,959.5714111328125,903.0,183.0,21.732495596489024,21,39.500013730215365,190.72379068405226
3168903,-45.823281773616245,-18.859256017970225,2085.109848293476,864.8844604492188,678.0,439.0,19.918889784059303,450,62.133073508068854,62.133073508068854
3169000,-43.02475651488229,-21.17964046740949,163.4058319935575,414.3333435058594,325.0,431.0,24.89403815961647,36,47.760389565327095,295.61541180350815
3169059,-46.15059961376358,-22.355527020609106,119.85752633493394,1129.6785888671875,966.0,454.0,42.73473571245696,28,52.04378032224416,221.86976562025683
3169109,-46.383579428939065,-22.707338520085436,133.1774814473465,1219.4000244140625,1058.0,377.0,37.45531854446237,30,68.4478243116116,260.5159623088306
3169208,-42.066246357423125,-20.881642235176223,290.98468428011984,491.46875,241.0,670.0,44.84781391083024,64,77.3771569319039,368.78419971949967
3169307,-45.206621554147745,-21.686391817757176,828.863818032667,914.2154541015625,838.0,222.0,14.718649594952609,181,57.8937779192683,170.29607693022956
3169356,-45.067466705881756,-18.296334055199814,2682.379200910218,733.9217529296875,437.0,480.0,16.189647360462885,575,21.214198824482807,21.214198824482807
3169406,-45.49494221532838,-21.392070894719033,693.2938668634742,898.7549438476562,778.0,277.0,15.753651381794477,151,37.73569650247124,127.92017991822087
3169505,-41.70345312353869,-19.015412480988786,499.9679590817541,227.15887451171875,128.0,290.0,18.367277721168374,107,7.429803827933455,354.3630315280697
3169604,-48.75458499081448,-18.5355223816087,1843.3878066809848,706.8639526367188,500.0,415.0,19.02765293225246,397,21.36811574886139,21.36811574886139
3169703,-42.83978205540112,-17.244909944114788,1159.7885580584407,742.534423828125,511.0,468.0,32.39229841573198,247,18.712723951106366,208.18804843662488
3169802,-45.79918169347872,-21.885401361841,205.4824263304472,892.1627807617188,827.0,166.0,15.670289492216096,43,44.71325154249341,171.48489175352591
3169901,-42.96528574741121,-21.105380077685993,420.7079416895285,491.6444396972656,318.0,514.0,19.952207877788787,90,41.40218997975599,297.10292560789867
3170008,-44.84719890375753,-16.364223499254813,811.2445952296257,594.1754150390625,467.0,249.0,10.501381144066297,171,20.28372619652619,20.28372619652619
3170057,-42.070969706941106,-19.65922785550943,172.96124499849975,695.1621704101562,542.0,401.0,33.00977993354665,37,42.223497589154086,321.0944158093525
3170107,-47.97649713082769,-19.583046010298652,4512.052723528817,814.8372802734375,492.0,542.0,12.434357905917727,977,45.99855131276469,125.05718977885266
3170206,-48.3314804549348,-19.028294517534256,4135.92149045039,806.8872680664062,535.0,440.0,13.643052019544035,887,71.68196682936463,71.68196682936463
3170305,-40.66388486563731,-17.27469456932513,409.1811367110349,311.8089904785156,213.0,219.0,15.627116393995355,89,99.47158926036487,428.1468842498662
3170404,-46.81975646195985,-16.375554835418985,8438.623681168072,761.8575439453125,504.0,505.0,14.915925009292032,1783,124.75282979942749,183.4716334765658
3170438,-50.34332040013734,-19.40854037137398,1155.1787253785878,450.05621337890625,375.0,145.0,8.404744739783897,249,39.368392714151454,39.368392714151454
3170479,-46.3197231534344,-16.09079029677895,592.9365953784436,746.8504028320312,504.0,426.0,31.480100044492282,127,134.20387018742238,134.20387018742238
3170503,-42.73366734742793,-20.326800972216137,141.282215164043,473.741943359375,371.0,199.0,16.114870680026467,31,17.003026658235704,278.9166048064299
3170529,-45.572347090054954,-16.0263836336493,2064.035981917754,581.8245849609375,475.0,211.0,8.961808918513434,439,54.6189325716385,54.6189325716385
3170578,-42.318779374377065,-19.60098754659612,110.9673072360456,456.34783935546875,252.0,432.0,58.82195135638724,23,16.629911004590614,294.4538369997652
3170602,-46.33446588946752,-20.432451637489816,406.1420511091128,923.2413940429688,752.0,567.0,36.22096028841387,87,8.99040266822593,8.99040266822593
3170651,-42.2993830350644,-15.342249441844432,491.77140805032104,960.5294189453125,816.0,304.0,22.351417810288325,102,141.3051148727075,182.85814980314893
3170701,-45.411985049640215,-21.55560147632935,407.8442270113155,922.7000122070312,786.0,384.0,20.21196578936673,90,49.75443222359552,147.9123602148112
3170750,-45.93440098558528,-18.465725410510384,649.2057473044842,843.216796875,669.0,341.0,13.753088201230744,143,60.62211752477843,60.62211752477843
3170800,-44.72783086895093,-17.49397009431849,2209.6055599451065,593.4733276367188,479.0,552.0,20.940374640074754,469,0.9766228451541831,23.95203851149341
3170909,-43.93597320261259,-15.641185620914422,801.0200620149262,655.91015625,515.0,315.0,12.330096676211406,167,38.732065881271595,38.732065881271595
3171006,-46.86830694263327,-17.8680988890171,1886.4877943564206,675.3838500976562,521.0,456.0,20.02336650413363,396,43.04108596623736,43.04108596623736
3171030,-43.62915178110828,-15.540107300558203,1587.735231707804,520.8342895507812,471.0,279.0,9.152664531135155,338,61.151503785820665,61.151503785820665
3171071,-42.72768519781707,-17.485637103292344,620.1240896368399,770.0992431640625,564.0,377.0,27.256256396942366,131,44.797329706751796,223.48712555761938
